DATE,pghunemp,pghcivlabforce,pghavghourearn,pghpermits,pghempmanuf
2020-11-01,7.5,160539,27.24,173.19280093839200,79.42345554069220
2020-12-01,8.1,160671,27.54,191.92956934430500,79.74813435056980
2021-01-01,7.9,160184,27.50,239.03146584861400,79.33917251461370
2021-02-01,7.7,160359,27.59,196.94911670394400,79.36810047661730
2021-03-01,7.1,160631,27.99,201.99804031688600,79.59265362930340
2021-04-01,6.6,160978,28.66,171.84707369988300,79.15664797881590
2021-05-01,6.6,160801,28.56,177.29205220020700,79.48476413229560
2021-06-01,7.0,161114,27.63,182.49380810121600,79.52061519882610
2021-07-01,7.0,161375,27.79,151.14782821122400,80.24930009750980
2021-08-01,6.6,161505,28.00,168.37794023840200,80.66443221086100
2021-09-01,5.5,161471,28.10,145.83520719287600,80.31862360573320
2021-10-01,5.3,161610,28.51,147.81515243358600,80.37791034123500
2021-11-01,4.8,162126,28.19,163.79085552612400,80.49401843250070
2021-12-01,4.5,162294,28.32,258.88683440645400,79.30272906564100
2022-01-01,5.8,163687,29.53,415.36347112125700,79.78000733432070
2022-02-01,5.1,163991,29.04,382.65369242325100,81.72013767055370
2022-03-01,4.6,164409,29.38,466.20520970447900,81.88616933744050
2022-04-01,4.2,164046,29.41,372.91736822686700,83.49640659790700
2022-05-01,4.0,164376,29.38,389.19357890670500,83.55857909437660
2022-06-01,4.6,164023,29.10,330.74585914529800,83.91794538803070
2022-07-01,4.7,163960,29.54,348.12080902255000,82.52350376444530
2022-08-01,4.8,164746,29.60,344.82708661790600,83.13146555795510
2022-09-01,3.4,164689,29.72,321.64272675832200,82.90112446713450
2022-10-01,,164667,29.97,303.13666728154900,84.21847258125010
